Age (groups),Attrition,BusinessTravel,Department,Sum of DistanceFromHome (KM),Sum of Actual years at company,Sum of Age,EducationField,EducationLevelID,EmployeeID,Ethnicity,FirstName,Gender,Year,Quarter,Month,Day,JobRole,LastName,MaritalStatus,OverTime,Sum of Salary,Salary (grouping),State,Sum of StockOptionLevel,Sum of YearsAtCompany,Sum of YearsInMostRecentRole,Sum of YearsSinceLastPromotion,Sum of YearsWithCurrManager,DistanceFromHome (KM) (bins)
18 to 29,No,Some Travel,Sales,36,6.44,27,Technical Degree,3,22FF-9076,Asian or Asian American,Eleanore,Female,2016,Qtr 3,July,23,Sales Executive,Attenbrough,Divorced,No,173994,C- 150K to 225K,CA,1,6,1,5,6,34
18 to 29,No,Some Travel,Sales,38,6.21,26,Technical Degree,3,25F5-0EAF,Mixed or multiple ethnic groups,Amargo,Non-Binary,2016,Qtr 4,October,16,Sales Executive,Briddock,Divorced,No,104898,B- 70K to 150K,CA,1,6,5,5,1,34
18 to 29,No,Some Travel,Sales,17,7.1,28,Technical Degree,3,ACD5-5FA2,White,Judye,Female,2015,Qtr 4,November,26,Sales Representative,Offield,Divorced,Yes,70787,B- 70K to 150K,CA,2,7,2,5,5,12
18 to 29,No,Some Travel,Sales,11,0.7,24,Technical Degree,3,B77D-2FBD,White,Diannne,Female,2022,Qtr 2,April,19,Sales Executive,Real,Single,No,58923,A- 20K to 70K,CA,0,0,0,0,0,1
18 to 29,No,Some Travel,Sales,25,7.88,27,Technical Degree,3,D86B-2E5E,White,Michele,Female,2015,Qtr 1,February,15,Sales Executive,Deane,Married,Yes,91202,B- 70K to 150K,NY,0,7,5,7,2,23
18 to 29,No,Some Travel,Sales,18,5.48,23,Technical Degree,4,7EEF-9A90,Other,Sheryl,Female,2017,Qtr 3,July,10,Sales Executive,Bridell,Married,Yes,83677,B- 70K to 150K,NY,1,5,0,5,3,12
18 to 29,No,Some Travel,Technology,27,1.63,20,Business Studies,1,217C-7180,White,Hale,Male,2021,Qtr 2,May,15,Data Scientist,Patty,Single,No,27141,A- 20K to 70K,IL,0,1,1,1,1,23
18 to 29,No,Some Travel,Technology,20,7.59,27,Business Studies,1,B49A-7D79,White,Freedman,Non-Binary,2015,Qtr 2,June,2,Software Engineer,Kensington,Single,Yes,22986,A- 20K to 70K,CA,0,7,6,7,0,12
18 to 29,No,Some Travel,Technology,16,6.42,26,Business Studies,2,05DA-5423,American Indian or Alaska Native,Moira,Female,2016,Qtr 3,July,30,Software Engineer,Forsey,Married,No,34630,A- 20K to 70K,CA,0,6,2,6,0,12
18 to 29,No,Some Travel,Technology,24,4.33,25,Business Studies,2,5839-7AE2,Black or African American,Maxwell,Male,2018,Qtr 3,September,4,Senior Software Engineer,Labrone,Single,Yes,175342,C- 150K to 225K,NY,0,4,3,4,3,23
18 to 29,No,Some Travel,Technology,24,2.34,20,Business Studies,2,619D-D78F,White,Leesa,Female,2020,Qtr 3,August,29,Data Scientist,Gauford,Single,No,38138,A- 20K to 70K,NY,0,2,2,2,1,23
18 to 29,No,Some Travel,Technology,1,7.47,28,Business Studies,2,6EEF-5B17,Mixed or multiple ethnic groups,Bo,Non-Binary,2015,Qtr 3,July,14,Engineering Manager,Readitt,Single,No,339731,Over 300K,CA,0,7,5,7,0,1
18 to 29,No,Some Travel,Technology,2,3.47,24,Business Studies,2,95E0-CCA0,Mixed or multiple ethnic groups,Berti,Male,2019,Qtr 3,July,14,Software Engineer,Laurand,Divorced,No,32313,A- 20K to 70K,NY,2,3,1,1,2,1
18 to 29,No,Some Travel,Technology,14,10.91,28,Business Studies,2,9AAB-DCD0,White,Staci,Female,2012,Qtr 1,February,4,Software Engineer,Leith,Divorced,Yes,105984,B- 70K to 150K,IL,2,10,7,9,10,12
18 to 29,No,Some Travel,Technology,37,5,23,Business Studies,2,B1BC-0011,White,Rea,Female,2018,Qtr 1,January,1,Data Scientist,Legister,Divorced,No,36098,A- 20K to 70K,NY,3,4,3,3,1,34
18 to 29,No,Some Travel,Technology,22,5.12,25,Business Studies,3,0EA5-3A95,Mixed or multiple ethnic groups,Brooks,Female,2017,Qtr 4,November,19,Software Engineer,Lackeye,Married,No,53271,A- 20K to 70K,NY,1,5,5,5,1,12
18 to 29,No,Some Travel,Technology,4,5.72,25,Business Studies,3,28F4-8367,Mixed or multiple ethnic groups,Conny,Non-Binary,2017,Qtr 2,April,15,Machine Learning Engineer,Iveans,Divorced,No,39456,A- 20K to 70K,CA,2,5,1,5,4,1
18 to 29,No,Some Travel,Technology,4,3.52,21,Business Studies,3,354B-3BC6,White,Luci,Female,2019,Qtr 2,June,24,Software Engineer,Penburton,Single,No,67900,A- 20K to 70K,NY,0,3,3,3,2,1
18 to 29,No,Some Travel,Technology,3,6.57,24,Business Studies,3,3C31-30CB,White,Roxy,Female,2016,Qtr 2,June,8,Software Engineer,Firpi,Married,No,41664,A- 20K to 70K,CA,1,6,3,4,2,1
18 to 29,No,Some Travel,Technology,22,7.52,26,Business Studies,3,468A-E249,Mixed or multiple ethnic groups,Ninon,Female,2015,Qtr 2,June,27,Engineering Manager,Leathwood,Married,No,206137,C- 150K to 225K,CA,1,7,1,1,5,12
18 to 29,No,Some Travel,Technology,9,3.27,24,Business Studies,3,54D0-5A71,White,Dur,Male,2019,Qtr 3,September,24,Software Engineer,Lebarree,Married,Yes,33443,A- 20K to 70K,CA,1,3,3,3,0,1
18 to 29,No,Some Travel,Technology,1,4.38,24,Business Studies,3,61E5-836E,White,Frederigo,Non-Binary,2018,Qtr 3,August,16,Software Engineer,Wichard,Divorced,No,35199,A- 20K to 70K,CA,1,4,0,0,1,1
18 to 29,No,Some Travel,Technology,12,5.48,25,Business Studies,3,63B0-1036,Mixed or multiple ethnic groups,Persis,Female,2017,Qtr 3,July,10,Software Engineer,Christon,Divorced,No,52957,A- 20K to 70K,NY,1,5,3,5,4,12
18 to 29,No,Some Travel,Technology,8,0,27,Business Studies,3,6FB9-A624,Black or African American,Marc,Non-Binary,2022,Qtr 4,December,30,Senior Software Engineer,Calver,Single,No,92995,B- 70K to 150K,CA,3,0,0,0,0,1
18 to 29,No,Some Travel,Technology,40,4.28,25,Business Studies,3,7E76-154C,White,Lorrayne,Female,2018,Qtr 3,September,20,Machine Learning Engineer,Pinnington,Married,No,75250,B- 70K to 150K,NY,1,4,1,4,0,34
18 to 29,No,Some Travel,Technology,16,4.87,22,Business Studies,3,84AD-D566,American Indian or Alaska Native,Ashien,Female,2018,Qtr 1,February,16,Software Engineer,Villa,Single,No,30838,A- 20K to 70K,CA,0,4,4,4,0,12
18 to 29,No,Some Travel,Technology,38,2.27,20,Business Studies,3,9671-222C,White,Akim,Male,2020,Qtr 3,September,25,Software Engineer,Garfit,Divorced,No,21344,A- 20K to 70K,CA,1,2,1,2,2,34
18 to 29,No,Some Travel,Technology,4,4.38,24,Business Studies,3,9723-FED9,Black or African American,Charyl,Female,2018,Qtr 3,August,16,Data Scientist,Bartaletti,Married,No,41555,A- 20K to 70K,CA,1,4,4,4,2,1
18 to 29,No,Some Travel,Technology,6,4.08,22,Business Studies,3,A161-29FC,White,Teriann,Non-Binary,2018,Qtr 4,December,2,Software Engineer,Clampett,Married,No,21649,A- 20K to 70K,NY,1,4,1,4,1,1
18 to 29,No,Some Travel,Technology,10,7.57,25,Business Studies,3,A76C-AEB3,White,Oren,Male,2015,Qtr 2,June,7,Machine Learning Engineer,Milella,Married,Yes,145905,B- 70K to 150K,CA,2,7,3,3,2,1
18 to 29,No,Some Travel,Technology,30,2.05,21,Business Studies,3,A89C-9A1E,White,Seline,Female,2020,Qtr 4,December,12,Data Scientist,Hanlin,Divorced,No,56422,A- 20K to 70K,CA,1,2,2,2,1,23
18 to 29,No,Some Travel,Technology,45,6.48,27,Business Studies,3,C389-FC34,Mixed or multiple ethnic groups,Lin,Female,2016,Qtr 3,July,9,Software Engineer,Lauga,Married,No,28828,A- 20K to 70K,IL,1,6,1,6,4,34
18 to 29,No,Some Travel,Technology,40,3.52,21,Business Studies,3,C95B-FE97,White,Ira,Male,2019,Qtr 2,June,27,Data Scientist,Rivelon,Married,No,58274,A- 20K to 70K,CA,1,3,3,3,3,34
18 to 29,No,Some Travel,Technology,30,6.44,24,Business Studies,3,EA3A-E005,White,Reinhold,Male,2016,Qtr 3,July,24,Software Engineer,Bradane,Single,No,26363,A- 20K to 70K,CA,0,6,6,6,2,23
18 to 29,No,Some Travel,Technology,4,4.2,23,Business Studies,3,FB1F-9947,White,Gerianne,Female,2018,Qtr 4,October,20,Machine Learning Engineer,Redhouse,Divorced,Yes,106418,B- 70K to 150K,IL,1,4,0,3,0,1
18 to 29,No,Some Travel,Technology,17,5.04,26,Business Studies,4,1243-8B63,Black or African American,Jourdain,Male,2017,Qtr 4,December,18,Senior Software Engineer,Kither,Married,No,110761,B- 70K to 150K,NY,1,5,0,5,3,12
18 to 29,No,Some Travel,Technology,30,0.11,29,Business Studies,4,9160-043F,Black or African American,Jemie,Female,2022,Qtr 4,November,22,Machine Learning Engineer,Tasseler,Single,No,220896,C- 150K to 225K,CA,0,0,0,0,0,23
18 to 29,No,Some Travel,Technology,7,0.87,19,Business Studies,4,A687-74F8,White,Say,Male,2022,Qtr 1,February,16,Software Engineer,Slyme,Single,No,29266,A- 20K to 70K,NY,1,0,0,0,0,1
18 to 29,No,Some Travel,Technology,19,5.9,23,Business Studies,4,AE51-5502,American Indian or Alaska Native,Randy,Male,2017,Qtr 1,February,8,Data Scientist,Luxford,Married,No,25986,A- 20K to 70K,NY,1,5,4,4,3,12
18 to 29,No,Some Travel,Technology,19,0.47,27,Business Studies,4,C1BA-AB7C,White,Gorden,Male,2022,Qtr 3,July,14,Engineering Manager,Ferriby,Married,No,118176,B- 70K to 150K,IL,1,0,0,0,0,12
18 to 29,No,Some Travel,Technology,37,3.29,23,Business Studies,4,EF95-30A5,White,Gregoire,Male,2019,Qtr 3,September,18,Senior Software Engineer,Bilbrook,Single,No,57603,A- 20K to 70K,CA,0,3,0,1,1,34
18 to 29,No,Some Travel,Technology,42,1.77,22,Business Studies,4,F220-AAA6,White,Caspar,Male,2021,Qtr 1,March,26,Software Engineer,Edgley,Married,Yes,51272,A- 20K to 70K,CA,1,1,0,0,1,34
18 to 29,No,Some Travel,Technology,36,7.01,29,Business Studies,5,B679-F7C9,Black or African American,Hillard,Male,2015,Qtr 4,December,31,Software Engineer,Ell,Single,Yes,113448,B- 70K to 150K,NY,0,7,0,4,1,34
18 to 29,No,Some Travel,Technology,16,1.93,22,Computer Science,1,1368-8327,White,Nataniel,Non-Binary,2021,Qtr 1,January,25,Data Scientist,Garrattley,Married,Yes,78467,B- 70K to 150K,NY,2,1,0,1,0,12
18 to 29,No,Some Travel,Technology,31,3.98,22,Computer Science,1,1EEB-ABF7,Asian or Asian American,Stephenie,Female,2019,Qtr 1,January,7,Software Engineer,Cronkshaw,Divorced,No,43588,A- 20K to 70K,IL,2,3,2,3,2,23
18 to 29,No,Some Travel,Technology,16,7.93,26,Computer Science,1,4E65-CCD0,White,Billie,Non-Binary,2015,Qtr 1,January,27,Senior Software Engineer,Sanday,Married,Yes,54746,A- 20K to 70K,CA,1,7,2,4,4,12
18 to 29,No,Some Travel,Technology,43,7.63,25,Computer Science,1,5741-0022,Asian or Asian American,Rosene,Female,2015,Qtr 2,May,18,Engineering Manager,Larmett,Divorced,No,190198,C- 150K to 225K,CA,2,7,0,2,3,34
18 to 29,No,Some Travel,Technology,29,0.82,20,Computer Science,1,812D-7475,White,Lucius,Male,2022,Qtr 1,March,8,Data Scientist,Plimmer,Married,No,20526,A- 20K to 70K,CA,1,0,0,0,0,23
18 to 29,No,Some Travel,Technology,20,3.27,24,Computer Science,1,9C27-3F5C,White,Kinna,Female,2019,Qtr 3,September,24,Software Engineer,Krzyzowski,Divorced,Yes,32930,A- 20K to 70K,CA,2,3,3,3,0,12
18 to 29,No,Some Travel,Technology,30,3.32,21,Computer Science,1,AFE1-76D3,White,Keelby,Male,2019,Qtr 3,September,8,Software Engineer,Pariss,Married,No,31624,A- 20K to 70K,CA,0,3,3,3,2,23
18 to 29,No,Some Travel,Technology,20,3.26,23,Computer Science,1,C560-23D6,White,Chiquita,Non-Binary,2019,Qtr 3,September,27,Software Engineer,Le Marchant,Divorced,No,45995,A- 20K to 70K,CA,1,3,1,1,2,12
18 to 29,No,Some Travel,Technology,23,2.93,20,Computer Science,1,D8F6-DED3,White,Myrvyn,Male,2020,Qtr 1,January,28,Software Engineer,Edsell,Married,Yes,26752,A- 20K to 70K,CA,0,2,0,1,1,23
18 to 29,No,Some Travel,Technology,33,2.68,23,Computer Science,1,D962-9E69,White,Esteban,Male,2020,Qtr 2,April,27,Data Scientist,Guiraud,Divorced,No,29490,A- 20K to 70K,CA,1,2,0,1,2,23
18 to 29,No,Some Travel,Technology,7,2.85,22,Computer Science,1,D9AE-B32C,White,Leelah,Female,2020,Qtr 1,February,23,Software Engineer,Ludvigsen,Single,No,28359,A- 20K to 70K,CA,0,2,1,2,1,1
18 to 29,No,Some Travel,Technology,14,7.15,26,Computer Science,1,E47D-E3C5,Black or African American,Kerry,Male,2015,Qtr 4,November,10,Software Engineer,Orrell,Married,Yes,33180,A- 20K to 70K,NY,1,7,5,7,3,12
18 to 29,No,Some Travel,Technology,16,5.78,24,Computer Science,1,E7F5-0AD1,Asian or Asian American,Walden,Male,2017,Qtr 1,March,21,Machine Learning Engineer,Skuce,Married,No,55814,A- 20K to 70K,CA,2,5,3,4,3,12
18 to 29,No,Some Travel,Technology,20,5.32,26,Computer Science,1,E9D9-787A,White,Lyn,Male,2017,Qtr 3,September,8,Senior Software Engineer,Walczynski,Married,Yes,207687,C- 150K to 225K,NY,1,5,0,5,4,12
18 to 29,No,Some Travel,Technology,21,0.5,19,Computer Science,1,F1A4-58F5,White,Blake,Male,2022,Qtr 3,July,1,Senior Software Engineer,Duffrie,Single,Yes,71551,B- 70K to 150K,CA,1,0,0,0,0,12
18 to 29,No,Some Travel,Technology,34,1.48,22,Computer Science,1,F5B1-A266,White,Arly,Female,2021,Qtr 3,July,9,Software Engineer,Fleetham,Married,No,36677,A- 20K to 70K,CA,1,1,0,1,1,34
18 to 29,No,Some Travel,Technology,14,0.13,18,Computer Science,1,FF42-EA28,Black or African American,Madella,Female,2022,Qtr 4,November,13,Data Scientist,Worham,Single,No,28246,A- 20K to 70K,IL,1,0,0,0,0,12
18 to 29,No,Some Travel,Technology,27,7.19,26,Computer Science,2,04D7-C8F3,White,Scarlett,Female,2015,Qtr 4,October,26,Data Scientist,Elstob,Married,No,42052,A- 20K to 70K,CA,1,7,7,7,2,23
18 to 29,No,Some Travel,Technology,24,1.54,19,Computer Science,2,1053-41B1,White,Andy,Female,2021,Qtr 2,June,16,Data Scientist,Lingwood,Single,No,31014,A- 20K to 70K,CA,1,1,1,1,0,23
18 to 29,No,Some Travel,Technology,4,2.52,21,Computer Science,2,1BEA-3835,White,Hymie,Male,2020,Qtr 2,June,26,Software Engineer,Aseef,Married,Yes,21158,A- 20K to 70K,CA,0,2,1,1,0,1
18 to 29,No,Some Travel,Technology,31,7.89,26,Computer Science,2,2E7B-43F0,White,Arnaldo,Male,2015,Qtr 1,February,11,Engineering Manager,Balling,Married,Yes,148211,B- 70K to 150K,CA,3,7,1,6,0,23
18 to 29,No,Some Travel,Technology,18,3.54,21,Computer Science,2,342B-0932,Asian or Asian American,Giorgio,Male,2019,Qtr 2,June,17,Software Engineer,Ginger,Married,Yes,29558,A- 20K to 70K,CA,1,3,2,3,2,12
18 to 29,No,Some Travel,Technology,11,4.78,25,Computer Science,2,34FB-D8F3,White,Sheffie,Male,2018,Qtr 1,March,21,Engineering Manager,McCrum,Married,No,285138,D- 225K to 300K,NY,1,4,0,3,4,1
18 to 29,No,Some Travel,Technology,26,5.11,24,Computer Science,2,36E1-3DDF,Black or African American,Connie,Non-Binary,2017,Qtr 4,November,21,Software Engineer,Widocks,Single,No,34657,A- 20K to 70K,CA,0,5,5,5,2,23
18 to 29,No,Some Travel,Technology,3,7.38,27,Computer Science,2,3DB7-2942,Asian or Asian American,Cordula,Female,2015,Qtr 3,August,16,Engineering Manager,Upjohn,Married,No,137012,B- 70K to 150K,CA,1,7,6,7,7,1
18 to 29,No,Some Travel,Technology,28,0.01,20,Computer Science,2,467E-977A,Black or African American,Jud,Male,2022,Qtr 4,December,26,Software Engineer,Melanaphy,Single,No,38508,A- 20K to 70K,CA,0,0,0,0,0,23
18 to 29,No,Some Travel,Technology,43,3.58,21,Computer Science,2,4CD7-B91C,White,Jaime,Male,2019,Qtr 2,June,5,Machine Learning Engineer,Luca,Single,No,71698,B- 70K to 150K,CA,0,3,0,3,3,34
18 to 29,No,Some Travel,Technology,16,6.13,25,Computer Science,2,5BDE-7102,Black or African American,Rafaela,Female,2016,Qtr 4,November,13,Engineering Manager,Smurfit,Married,No,184441,C- 150K to 225K,CA,1,6,6,6,3,12
18 to 29,No,Some Travel,Technology,1,6.61,27,Computer Science,2,5D73-961A,Other,Padraig,Male,2016,Qtr 2,May,25,Senior Software Engineer,Pabel,Divorced,No,90487,B- 70K to 150K,CA,1,6,4,4,4,1
18 to 29,No,Some Travel,Technology,4,4.04,22,Computer Science,2,6376-F58F,White,Ashil,Female,2018,Qtr 4,December,19,Senior Software Engineer,Kenwrick,Single,No,73653,B- 70K to 150K,CA,0,4,2,3,3,1
18 to 29,No,Some Travel,Technology,34,1.52,21,Computer Science,2,6819-65F3,White,Derward,Male,2021,Qtr 2,June,26,Software Engineer,Darco,Married,No,26137,A- 20K to 70K,NY,1,1,0,0,1,34
18 to 29,No,Some Travel,Technology,4,7.84,25,Computer Science,2,71CC-7412,White,Issi,Prefer Not To Say,2015,Qtr 1,March,1,Engineering Manager,Early,Single,No,179602,C- 150K to 225K,NY,0,7,6,6,6,1
18 to 29,No,Some Travel,Technology,45,5.76,23,Computer Science,2,79E4-6632,Asian or Asian American,Tailor,Male,2017,Qtr 1,March,28,Software Engineer,Cansfield,Married,No,37322,A- 20K to 70K,CA,1,5,3,3,3,34
18 to 29,No,Some Travel,Technology,5,0.05,19,Computer Science,2,8A34-59DF,Black or African American,Camellia,Non-Binary,2022,Qtr 4,December,14,Software Engineer,Shelmerdine,Single,No,35372,A- 20K to 70K,CA,3,0,0,0,0,1
18 to 29,No,Some Travel,Technology,14,4.14,25,Computer Science,2,8EBD-B3E8,Black or African American,Sutherland,Male,2018,Qtr 4,November,12,Software Engineer,Kick,Single,Yes,40079,A- 20K to 70K,IL,0,4,3,4,1,12
18 to 29,No,Some Travel,Technology,9,7.59,27,Computer Science,2,9F02-0D39,White,Bell,Female,2015,Qtr 2,May,30,Analytics Manager,Di Biasi,Married,No,252301,D- 225K to 300K,CA,1,7,1,6,5,1
18 to 29,No,Some Travel,Technology,26,3.3,23,Computer Science,2,A859-9A84,White,Guthrie,Male,2019,Qtr 3,September,12,Data Scientist,Blunt,Divorced,No,31426,A- 20K to 70K,NY,1,3,1,2,0,23
18 to 29,No,Some Travel,Technology,19,4.02,24,Computer Science,2,A885-BF42,White,Donavon,Male,2018,Qtr 4,December,24,Data Scientist,Hallet,Single,No,32173,A- 20K to 70K,CA,0,4,1,4,1,12
18 to 29,No,Some Travel,Technology,34,2.77,23,Computer Science,2,BC43-E62B,White,Bria,Female,2020,Qtr 1,March,25,Software Engineer,Hendrickx,Married,No,29956,A- 20K to 70K,IL,0,2,1,1,2,34
18 to 29,No,Some Travel,Technology,40,5.24,25,Computer Science,2,C0B9-E4C1,White,Illa,Female,2017,Qtr 4,October,4,Machine Learning Engineer,MacPherson,Married,Yes,80779,B- 70K to 150K,NY,1,5,1,4,5,34
18 to 29,No,Some Travel,Technology,8,6.38,26,Computer Science,2,C292-EC0C,White,Rosamond,Non-Binary,2016,Qtr 3,August,16,Software Engineer,Mattaser,Divorced,No,27219,A- 20K to 70K,NY,2,6,3,5,4,1
18 to 29,No,Some Travel,Technology,8,8.69,29,Computer Science,2,C6A8-4E8A,White,Clayton,Male,2014,Qtr 2,April,25,Machine Learning Engineer,Hinemoor,Married,No,119083,B- 70K to 150K,NY,2,8,3,6,4,1
18 to 29,No,Some Travel,Technology,22,2.02,21,Computer Science,2,C96B-43C7,White,Kristo,Male,2020,Qtr 4,December,23,Software Engineer,Casaro,Divorced,No,73075,B- 70K to 150K,NY,2,2,1,1,1,12
18 to 29,No,Some Travel,Technology,27,6.03,25,Computer Science,2,CC88-AE14,Mixed or multiple ethnic groups,Barbi,Female,2016,Qtr 4,December,20,Machine Learning Engineer,Wilsher,Married,Yes,84770,B- 70K to 150K,CA,1,6,0,5,0,23
18 to 29,No,Some Travel,Technology,14,3.31,22,Computer Science,2,E927-46D7,White,Shandeigh,Female,2019,Qtr 3,September,9,Data Scientist,Lindores,Married,No,28989,A- 20K to 70K,CA,1,3,2,2,3,12
18 to 29,No,Some Travel,Technology,20,7.93,25,Computer Science,2,EB4F-4D97,Mixed or multiple ethnic groups,Lynnelle,Female,2015,Qtr 1,January,29,Software Engineer,Peizer,Married,Yes,43438,A- 20K to 70K,NY,1,7,7,7,3,12
18 to 29,No,Some Travel,Technology,36,0.73,21,Computer Science,2,EFF6-9543,White,Arvin,Male,2022,Qtr 2,April,10,Software Engineer,Brody,Single,No,36431,A- 20K to 70K,CA,0,0,0,0,0,34
18 to 29,No,Some Travel,Technology,5,7.24,27,Computer Science,2,F401-1B75,White,Nevins,Non-Binary,2015,Qtr 4,October,5,Software Engineer,Forst,Married,No,26542,A- 20K to 70K,NY,1,7,1,7,5,1
18 to 29,No,Some Travel,Technology,4,1.47,19,Computer Science,3,0B9A-B6DE,White,Mikol,Male,2021,Qtr 3,July,11,Machine Learning Engineer,Ortner,Single,No,60077,A- 20K to 70K,CA,1,1,1,1,0,1
18 to 29,No,Some Travel,Technology,30,3.82,21,Computer Science,3,0C6D-2825,White,Tann,Male,2019,Qtr 1,March,6,Software Engineer,Lettley,Divorced,Yes,37164,A- 20K to 70K,CA,1,3,3,3,3,23
18 to 29,No,Some Travel,Technology,43,0.88,21,Computer Science,3,141B-D354,White,Ezmeralda,Prefer Not To Say,2022,Qtr 1,February,14,Software Engineer,Harbach,Single,No,33306,A- 20K to 70K,NY,0,0,0,0,0,34
18 to 29,No,Some Travel,Technology,4,7.39,27,Computer Science,3,1453-D3D8,Asian or Asian American,Magnum,Non-Binary,2015,Qtr 3,August,14,Machine Learning Engineer,Dublin,Married,No,60967,A- 20K to 70K,NY,2,7,7,7,0,1
18 to 29,No,Some Travel,Technology,42,7.66,27,Computer Science,3,1C57-5F2A,White,Persis,Female,2015,Qtr 2,May,7,Software Engineer,Vineall,Married,No,33606,A- 20K to 70K,CA,2,7,0,0,2,34
18 to 29,No,Some Travel,Technology,20,4.1,25,Computer Science,3,1FE3-22BF,Mixed or multiple ethnic groups,Jinny,Female,2018,Qtr 4,November,25,Machine Learning Engineer,Vannet,Married,No,65642,A- 20K to 70K,NY,1,4,4,4,0,12
18 to 29,No,Some Travel,Technology,34,3.82,24,Computer Science,3,24DD-6D7C,Mixed or multiple ethnic groups,Leshia,Female,2019,Qtr 1,March,7,Machine Learning Engineer,Jenking,Married,No,78242,B- 70K to 150K,IL,1,3,0,3,2,34
18 to 29,No,Some Travel,Technology,41,7.45,26,Computer Science,3,257B-8130,Mixed or multiple ethnic groups,Erastus,Male,2015,Qtr 3,July,20,Senior Software Engineer,Pennings,Divorced,No,47676,A- 20K to 70K,NY,1,7,4,6,1,34
18 to 29,No,Some Travel,Technology,35,3.55,21,Computer Science,3,2637-BDCD,Black or African American,Davin,Male,2019,Qtr 2,June,15,Data Scientist,Nutley,Divorced,No,51682,A- 20K to 70K,IL,1,3,1,3,0,34
18 to 29,No,Some Travel,Technology,44,7.06,27,Computer Science,3,27CD-A6BF,Mixed or multiple ethnic groups,Fabiano,Male,2015,Qtr 4,December,12,Software Engineer,Edkins,Single,Yes,45276,A- 20K to 70K,CA,0,7,6,6,2,34
18 to 29,No,Some Travel,Technology,17,5.44,25,Computer Science,3,2B70-5A31,Mixed or multiple ethnic groups,Justinian,Male,2017,Qtr 3,July,25,Software Engineer,Ladell,Married,No,44082,A- 20K to 70K,NY,0,5,1,3,0,12
18 to 29,No,Some Travel,Technology,12,5.03,23,Computer Science,3,3747-3110,Black or African American,Sarge,Male,2017,Qtr 4,December,22,Software Engineer,Antowski,Married,Yes,35776,A- 20K to 70K,NY,2,5,0,3,4,12
18 to 29,No,Some Travel,Technology,33,10.7,29,Computer Science,3,3994-472A,White,Rolf,Male,2012,Qtr 2,April,23,Software Engineer,Cunah,Divorced,No,153909,C- 150K to 225K,CA,1,10,10,10,2,23
18 to 29,No,Some Travel,Technology,1,7.98,27,Computer Science,3,39FC-7149,White,Kathye,Female,2015,Qtr 1,January,10,Software Engineer,Balden,Single,No,31450,A- 20K to 70K,CA,0,7,3,5,7,1
18 to 29,No,Some Travel,Technology,5,7.5,25,Computer Science,3,3A2C-ABB8,White,Gawain,Male,2015,Qtr 3,July,2,Software Engineer,Dewdney,Married,No,28646,A- 20K to 70K,CA,1,7,6,6,3,1
18 to 29,No,Some Travel,Technology,11,4.8,22,Computer Science,3,45A4-C1D0,Mixed or multiple ethnic groups,Baxy,Male,2018,Qtr 1,March,14,Software Engineer,Goodliff,Divorced,No,74314,B- 70K to 150K,IL,1,4,0,1,3,1
18 to 29,No,Some Travel,Technology,23,0.21,19,Computer Science,3,4A5B-6102,White,Gabby,Male,2022,Qtr 4,October,15,Senior Software Engineer,Gartsyde,Single,Yes,67873,A- 20K to 70K,CA,0,0,0,0,0,23
18 to 29,No,Some Travel,Technology,5,1.78,21,Computer Science,3,4B7E-9DE5,White,Tanner,Male,2021,Qtr 1,March,22,Software Engineer,Syplus,Married,No,25060,A- 20K to 70K,NY,1,1,1,1,1,1
18 to 29,No,Some Travel,Technology,30,6.28,24,Computer Science,3,4C41-7F73,White,Libby,Female,2016,Qtr 3,September,21,Machine Learning Engineer,Mustoe,Divorced,Yes,94318,B- 70K to 150K,CA,1,6,3,6,5,23
18 to 29,No,Some Travel,Technology,24,6.12,24,Computer Science,3,4F22-FF67,White,Care,Male,2016,Qtr 4,November,18,Software Engineer,Ireland,Single,Yes,28156,A- 20K to 70K,NY,0,6,6,6,5,23
18 to 29,No,Some Travel,Technology,11,4.09,24,Computer Science,3,5381-86E4,White,Walker,Male,2018,Qtr 4,November,28,Senior Software Engineer,Tribble,Single,No,57054,A- 20K to 70K,CA,0,4,4,4,4,1
18 to 29,No,Some Travel,Technology,7,7.08,26,Computer Science,3,5605-237E,Black or African American,Linell,Female,2015,Qtr 4,December,3,Data Scientist,Lack,Married,Yes,34047,A- 20K to 70K,NY,1,7,4,4,2,1
18 to 29,No,Some Travel,Technology,11,4.38,24,Computer Science,3,5919-4ADE,White,Lelah,Female,2018,Qtr 3,August,14,Senior Software Engineer,Blackney,Married,No,65486,A- 20K to 70K,CA,1,4,4,4,0,1
18 to 29,No,Some Travel,Technology,21,0.83,18,Computer Science,3,5C28-D944,White,Kaine,Male,2022,Qtr 1,March,2,Software Engineer,Izak,Married,No,42946,A- 20K to 70K,CA,0,0,0,0,0,12
